Cat.,Zaneen Model #,Series,Description, CAD MSRP  , USD MSRP  
A,L2722878,KY,Track Spot - 17.5W LED -120V -3000K -2392lm - Adjustable -White / Black,922.00,742.00
A,L2722885,KY,Track Spot - 17.5W LED -120V -3000K -2392lm - Adjustable -Silver-Gray /Black,922.00,742.00
A,L2722915,KY,Track Spot - 25W LED -120V -4000K -3204lm - Adjustable - Black,972.00,782.00
A,L2722978,KY,Track Spot - 25W LED -120V -4000K -3204lm - Adjustable -White / Black,972.00,782.00
A,L2722985,KY,Track Spot - 25W LED -120V -4000K -3204lm - Adjustable -Silver-Gray /Black,972.00,782.00
A,L2678615,KY,Track Spot 50W / 7W GU5.3 120V (Bright Beam Lock) Black,758.00,610.00
A,L2678678,KY,Track Spot 50W / 7W GU5.3 120V (Bright Beam Lock) White/Polished Chrome,758.00,610.00
A,L2678685,KY,Track Spot 50W / 7W GU5.3 120V (Bright Beam Lock) Silver Gray/Black,758.00,610.00
A,L2723115,KY,Track Spot Light - 36W LED -120V -4000K -5483 -Black,1230.00,990.00
A,L2723178,KY,Track Spot Light - 36W LED -120V -4000K -5483 -White / Silver Gray,1230.00,990.00
A,L2723185,KY,Track Spot Light - 36W LED -120V -4000K -5483 -Black / Silver Gray,1230.00,990.00
A,L2723215,KY,Track Spot Light - 36W LED -120V -3000K -5319 -Black,1230.00,990.00
A,L2723278,KY,Track Spot Light - 36W LED -120V -3000K -5319 -White / Silver Gray,1230.00,990.00
A,L2723285,KY,Track Spot Light - 36W LED -120V -3000K -5319 -Black / Silver Gray,1230.00,990.00
A,L2681515,KY,Track Spot 100W or 15W LED G53 120V Black,782.00,630.00
A,L2681578,KY,Track Spot 100W or 15W LED G53 120V White/Polished Chrome,782.00,630.00
A,L2681585,KY,Track Spot 100W or 15W LED G53 120V Silver Gray/Black,782.00,630.00
A,L2681615,KY,Track Spot 100W or 15W LED G53 120V Dimmable Black,884.00,712.00
A,L2681678,KY,Track Spot 100W or 15W LED G53 120V Dimmable White/Polished Chrome,884.00,712.00
A,L2681685,KY,Track Spot 100W or 15W LED G53 120V Dimmable Silver Gray/Black,884.00,712.00
A,L2723315,KY,Track Spot Light - 36W LED -120V -4000K -5483 -Black,1314.00,1056.00
A,L2723378,KY,Track Spot Light - 36W LED -120V -4000K -5483 -White / Silver Gray,1314.00,1056.00
A,L2723385,KY,Track Spot Light - 36W LED -120V -4000K -5483 -Black / Silver Gray,1314.00,1056.00
A,L2723415,KY,Track Spot Light - 36W LED -120V -3000K -5319 -Black,1314.00,1056.00
A,L2723478,KY,Track Spot Light - 36W LED -120V -3000K -5319 -White / Silver Gray,1314.00,1056.00
A,L2723485,KY,Track Spot Light - 36W LED -120V -3000K -5319 -Black / Silver Gray,1314.00,1056.00
A,L2723515,KY,Track Spot Light - 100W AR111 / 15W LED -G53 - 120V - Black,884.00,712.00
A,L2723578,KY,Track Spot Light - 100W AR111 / 15W LED -G53 -120V - White / Silver Gray,884.00,712.00
A,L2723585,KY,Track Spot Light - 100W AR111 / 15W LED -G53 -120V- Black / Silver Gray,884.00,712.00
A,L2234215,KY,Surface - 17.5W LED -120V -4000K -2471lm - Black,872.00,702.00
A,L2234278,KY,Surface - 17.5W LED -120V -4000K -2471lm -White / Silver Gray,872.00,702.00
A,L2234285,KY,Surface - 17.5W LED -120V -4000K -2471lm -Black / Silver Gray,872.00,702.00
